39,141,1993,Mazda,Miata,26
43,79,1993,Mazda,Miata,18
47,138,1990,Mazda,Miata,10
14,25,2012,Mercedes,C250,78
17,84,2012,Mercedes,Cl63amg,70
35,17,2016,Mercedes,C43,34
7,91,2010,Mitsu,Lancer,102
30,140,1995,Mitsu,Evo8,44
32,176,2014,Mitsu,Lancer,40
41,163,2013,Mitsu,Ralliart,22
32,19,2001,Mitsub,Evo7,40
9,228,2010,Nissan,370,92
11,153,2011,Nissan,370,84
11,161,2012,Nissan,370z,84
20,158,2007,Nissan,350z,64
21,12,1990,Nissan,240,62
30,8,1991,Nissan,Skyline,44
30,9,1996,Nissan,240,44
30,Showcar,2014,Nissan,Gtr,44
34,162,2014,Nissan,370z,36
35,10,2001,Nissan,S15,34
36,4341,1992,Nissan,Rps13,32
37,11,1991,Nissan,Skyline,30
37,7,2014,Nissan,Sentra,30
39,14,1990,Nissan,Skyline,26
39,242,2014,Nissan,Maxima,26
41,150,2006,Nissan,350z,22
45,193,2014,Nissan,Ssntra,14
47,16,2008,Nissan,350z,10
47,68,2013,Nissan,Altima,10
13,57,2015,Scion,Frs,80
42,235,2013,Scion,Frs,20
15,36,2016,Subaru,WRX,74
18,33,2015,Subaru,Sti,68
21,21,2009,Subaru,WRX,62
21,23,1998,Subaru,Legacy,62
22,53,2013,Subaru,WRX,60
25,37,2015,Subaru,Sti,54
26,134,2013,Subaru,WRX,52
27,51,2015,Subaru,WRX,50
29,232,2018,Subaru,WRX,46
31,153,2017,Subaru,Brz,42
34,200,2016,Subaru,WRX,36
36,24,2013,Subaru,BRZ,32
39,187,2007,Subaru,Legacy,26
45,67,2015,Subaru,Sti,14
46,76,2005,Subaru,Sti,12
48,69,2018,Subaru,WRX,8
49,134,2012,Subaru,WRX,6
49,187,2007,Subaru,Legacy,6
49,64,2004,Subaru,Forester,6
49,75,2012,Subaru,WRX,6
23,110,2011,Toyota,Camry,58
23,142,1993,Toyota,Supra,58
25,43,2011,Toyota,4 Runner,54
27,189,2012,Toyota,Fj cruiser,50
40,241,2007,Toyota,Camry,24
47,243,2008,Toyota,Matrix,10
9,126,2010,Volkswagen,Eos,92
12,180,2011,Volkswagen,Gti,82
24,156,2014,Volkswagen,Gli,56
25,6,2016,Volkswagen,Golf r,54
31,56,2009,Volkswagen,Jetta,42
33,145,1990,Volkswagen,Gti,38
33,179,2004,Volkswagen,R32,38
36,46,2008,Volkswagen,R32,32
37,181,2003,Volkswagen,Gti,30
38,144,2016,Volkswagen,Gti,28
38,238,1982,Volkswagen,Rabbit,28
38,59,2012,Volkswagen,Golf,28
39,114,2010,Volkswagen,Gti,26
40,81,2016,Volkswagen,GTI,24
42,182,2012,Volkswagen,Cc,20
44,183,2005,Volkswagen,Jetta,16
44,Vip,2008,Volkswagen,Gli,16
45,186,2012,Volkswagen,Gli,14
46,177,2005,Volkswagen,Jetta gli,12
47,237,1987,Volkswagen,Jetta,10
47,94,2004,Volkswagen,Gti,10
47,96,2017,Volkswagen,Gti,10
48,184,2010,Volkswagen,Cc,8
48,185,2013,Volkswagen,Jett,8
48,86,1996,Volkswagen,Jetta,8
50,66,2010,Volkswagen,Gti,4
41,100,2006,Volvo,S60r,22
